run,iteration,n_annotations,top1_train,top5_train,top1_val,top5_val,unique_annotations,learning_rate,n_score_per_iteration
9,4,160,0.40667,0.87,0.47,0.815,40,1e-05,300

9,5,170,0.44333,0.87667,0.445,0.86,40,1e-05,300

9,6,180,0.49333,0.86667,0.495,0.845,40,1e-05,300

9,7,190,0.48667,0.85333,0.525,0.885,40,1e-05,300

9,8,200,0.54,0.89333,0.445,0.835,40,1e-05,300

9,9,210,0.49333,0.85333,0.455,0.895,40,1e-05,300

